Basin Selected: Connecticut
NVIDIA GeForce RTX 2080 Ti

Lag: 1
Stop at: 0.95
Train / test split %: 0.85
Will run for (epochs): 100

Training started at 2022-07-19 13:23:15
epoch 0 train:	 [-0.08]
epoch 1 train:	 [-0.05]
epoch 2 train:	 [-0.03]
epoch 3 train:	 [-0.01]
epoch 4 train:	 [-0.]
epoch 5 train:	 [-0.]
epoch 6 train:	 [-0.]
epoch 7 train:	 [-0.]
epoch 8 train:	 [-0.01]
epoch 9 train:	 [-0.01]
epoch 10 train:	 [-0.02]
epoch 11 train:	 [-0.02]
epoch 12 train:	 [-0.03]
epoch 13 train:	 [-0.04]
epoch 14 train:	 [-0.04]
epoch 15 train:	 [-0.05]
epoch 16 train:	 [-0.05]
epoch 17 train:	 [-0.05]
epoch 18 train:	 [-0.06]
epoch 19 train:	 [-0.06]
epoch 20 train:	 [-0.06]
epoch 21 train:	 [-0.06]
epoch 22 train:	 [-0.07]
epoch 23 train:	 [-0.07]
epoch 24 train:	 [-0.07]
epoch 25 train:	 [-0.07]
epoch 26 train:	 [-0.07]
epoch 27 train:	 [-0.07]
epoch 28 train:	 [-0.07]
epoch 29 train:	 [-0.08]
epoch 30 train:	 [-0.08]
epoch 31 train:	 [-0.08]
epoch 32 train:	 [-0.08]
epoch 33 train:	 [-0.08]
epoch 34 train:	 [-0.08]
epoch 35 train:	 [-0.08]
epoch 36 train:	 [-0.08]
epoch 37 train:	 [-0.08]
epoch 38 train:	 [-0.08]
epoch 39 train:	 [-0.08]
epoch 40 train:	 [-0.08]
epoch 41 train:	 [-0.08]
epoch 42 train:	 [-0.08]
epoch 43 train:	 [-0.08]
epoch 44 train:	 [-0.08]
epoch 45 train:	 [-0.08]
epoch 46 train:	 [-0.08]
epoch 47 train:	 [-0.08]
epoch 48 train:	 [-0.08]
epoch 49 train:	 [-0.08]
epoch 50 train:	 [-0.08]
epoch 51 train:	 [-0.08]
epoch 52 train:	 [-0.08]
epoch 53 train:	 [-0.08]
epoch 54 train:	 [-0.08]
epoch 55 train:	 [-0.08]
epoch 56 train:	 [-0.08]
epoch 57 train:	 [-0.08]
epoch 58 train:	 [-0.08]
epoch 59 train:	 [-0.08]
epoch 60 train:	 [-0.08]
epoch 61 train:	 [-0.08]
epoch 62 train:	 [-0.08]
epoch 63 train:	 [-0.08]
epoch 64 train:	 [-0.08]
epoch 65 train:	 [-0.08]
epoch 66 train:	 [-0.08]
epoch 67 train:	 [-0.08]
epoch 68 train:	 [-0.08]
epoch 69 train:	 [-0.08]
epoch 70 train:	 [-0.08]
epoch 71 train:	 [-0.08]
epoch 72 train:	 [-0.08]
epoch 73 train:	 [-0.08]
epoch 74 train:	 [-0.08]
epoch 75 train:	 [-0.08]
epoch 76 train:	 [-0.08]
epoch 77 train:	 [-0.08]
epoch 78 train:	 [-0.08]
epoch 79 train:	 [-0.08]
epoch 80 train:	 [-0.08]
epoch 81 train:	 [-0.08]
epoch 82 train:	 [-0.08]
epoch 83 train:	 [-0.08]
epoch 84 train:	 [-0.08]
epoch 85 train:	 [-0.08]
epoch 86 train:	 [-0.08]
epoch 87 train:	 [-0.08]
epoch 88 train:	 [-0.08]
epoch 89 train:	 [-0.08]
epoch 90 train:	 [-0.08]
epoch 91 train:	 [-0.08]
epoch 92 train:	 [-0.08]
epoch 93 train:	 [-0.08]
epoch 94 train:	 [-0.08]
epoch 95 train:	 [-0.08]
epoch 96 train:	 [-0.08]
epoch 97 train:	 [-0.08]
epoch 98 train:	 [-0.08]
epoch 99 train:	 [-0.08]
Training time 6.62504 (minutes)

R²	[-68439005606106.87]
KGE	[nan]
r	[nan]
α	[0.]
β	[0.774]
NSE	[-8.4]
